track_name,artists_names,principal_artist_name,artist_genres,popularity,year,danceability,energy,valence,acousticness,instrumentalness,speechiness,tempo,loudness,duration_min,genre_label,cluster
Summertime - Single Edit,DJ Jazzy Jeff & The Fresh Prince,DJ Jazzy Jeff & The Fresh Prince,golden age hip hop;old school hip hop;philly rap,48,1987,0.614,0.752,0.444,0.00328,0.0,0.0652,95.018,-6.271,3.95155,Hip Hop,2
Dirty Diana - 2012 Remaster,Michael Jackson,Michael Jackson,r&b;soul,57,1987,0.744,0.815,0.347,0.194,0.000263,0.0446,131.39,-4.013,4.679333333333333,R&B,2
We Want Some P--sy,2 LIVE CREW,2 LIVE CREW,golden age hip hop;miami bass;miami hip hop;old school hip hop,54,1987,0.916,0.519,0.761,0.293,0.0,0.077,125.137,-12.409,2.816666666666667,Hip Hop,1
I Know You Got Soul,Eric B. & Rakim,Eric B. & Rakim,bboy;east coast hip hop;golden age hip hop;hip hop;old school hip hop,49,1987,0.89,0.86,0.763,0.0659,0.000175,0.231,104.054,-8.755,4.7411,Hip Hop,1
That's My Job,Conway Twitty,Conway Twitty,arkansas country;classic country pop;country;country rock,48,1987,0.586,0.374,0.242,0.534,0.0,0.0266,103.55,-6.964,4.863333333333333,Country,0
To Know Him Is to Love Him - 2015 Remaster,Dolly Parton;Linda Ronstadt;Emmylou Harris,Dolly Parton,classic country pop;country;country dawn,52,1987,0.323,0.196,0.354,0.767,0.000539,0.0327,174.656,-16.247,3.78355,Country,0
The Way I Am,Merle Haggard,Merle Haggard,bakersfield sound;country;country rock;nashville sound;outlaw country,47,1987,0.604,0.271,0.307,0.693,2.89e-06,0.0312,133.047,-15.164,2.94155,Country,0
Turn It Loose,The Judds,The Judds,country;country dawn;country road,46,1987,0.887,0.562,0.634,0.209,0.0,0.0328,119.766,-8.74,3.731766666666667,Country,1
I Just Can't Stop Loving You (feat. Siedah Garrett) - 2012 Remaster,Michael Jackson;Siedah Garrett,Michael Jackson,r&b;soul,59,1987,0.657,0.467,0.276,0.667,1.92e-06,0.0341,100.139,-8.925,4.196,R&B,0
Tulsa Time,Don Williams,Don Williams,classic country pop;country,48,1987,0.877,0.489,0.929,0.493,8.05e-06,0.0385,103.886,-15.244,3.213333333333333,Country,0
Two Occasions,The Deele,The Deele,contemporary r&b;new jack swing;post-disco;quiet storm,46,1987,0.589,0.461,0.415,0.00358,0.00565,0.048,169.911,-14.827,4.274883333333333,R&B,0
"Teacher, Teacher",38 Special,38 Special,album rock;classic rock;country rock;glam metal;hard rock;mellow gold;rock;soft rock;southern rock,48,1987,0.427,0.831,0.726,0.0122,0.0,0.0407,156.993,-10.924,3.252216666666667,Country,2
Lost In Emotion,Lisa Lisa & Cult Jam,Lisa Lisa & Cult Jam,contemporary r&b;freestyle;new jack swing;new wave pop;quiet storm;urban contemporary,46,1987,0.779,0.756,0.962,0.0236,0.012,0.0497,119.762,-9.47,5.126666666666667,R&B,1
Hold On Loosely,38 Special,38 Special,album rock;classic rock;country rock;glam metal;hard rock;mellow gold;rock;soft rock;southern rock,46,1987,0.541,0.571,0.854,0.028,0.000358,0.0316,127.506,-10.834,4.654,Country,2
It Must Be Love - Single Version,Don Williams,Don Williams,classic country pop;country,48,1987,0.92,0.399,0.966,0.129,8.66e-06,0.0608,110.824,-17.627,2.44555,Country,1
Don't You Want Me,Jody Watley;Michael Hutchinson;Francois Kevorkian,Jody Watley,contemporary r&b;freestyle;minneapolis sound;new jack swing;quiet storm;urban contemporary,46,1987,0.882,0.587,0.866,0.0673,1.09e-05,0.0396,112.032,-12.613,4.226666666666667,R&B,1
Memphis In The Meantime,John Hiatt,John Hiatt,country rock;folk;heartland rock;roots rock;singer-songwriter,49,1987,0.642,0.798,0.921,0.144,0.000101,0.0372,90.6,-11.138,3.996666666666667,Country,2
My Prerogative,Bobby Brown,Bobby Brown,contemporary r&b;new jack swing;r&b;urban contemporary,63,1988,0.762,0.625,0.696,0.0655,0.0,0.0562,110.163,-10.481,4.859333333333334,R&B,1
